country,code,count,,
Afghanistan,4,3 ,,
Albania,8,0 ,,
Antarctica,10,0 ,,
Algeria,12,0 ,,
American Samoa,16,0 ,,
Andorra,20,0 ,,
Angola,24,0 ,,
Antigua and Barbuda,28,0 ,,
Azerbaijan,31,26 ,,
Argentina,32,1 ,,
Australia,36,167 ,,
Austria,40,1 ,,
Bahamas,44,2 ,,
Bahrain,48,1 ,,
Bangladesh,50,49 ,,
Armenia,51,0 ,,
Barbados,52,1 ,,
Belgium,56,33 ,,
Bermuda,60,2 ,,
Bhutan,64,0 ,,
"Bolivia, Plurinational State of",68,0 ,,
Bosnia and Herzegovina,70,0 ,,
Botswana,72,0 ,,
Bouvet Island,74,0 ,,
Brazil,76,11 ,,
Belize,84,0 ,,
British Indian Ocean Territory,86,0 ,,
Solomon Islands,90,0 ,,
Virgin Islands (British),92,0 ,,
Brunei Darussalam,96,7 ,,
Bulgaria,100,2 ,,
Myanmar,104,0 ,,
Burundi,108,0 ,,
Belarus,112,3 ,,
Cambodia,116,1 ,,
Cameroon,120,0 ,,
Canada,124,724 ,,
Cabo Verde,132,0 ,,
Cayman Islands,136,0 ,,
Central African Republic,140,0 ,,
Sri Lanka,144,4 ,,
Chad,148,0 ,,
Chile,152,1 ,,
China,156,234 ,,
Christmas Island,162,0 ,,
Cocos (Keeling) Islands,166,0 ,,
Colombia,170,4 ,,
Comoros,174,0 ,,
Mayotte,175,0 ,,
Congo,178,0 ,,
"Congo, Democratic Republic of the",180,1 ,,
Cook Islands,184,0 ,,
Costa Rica,188,0 ,,
Croatia,191,0 ,,
Cuba,192,3 ,,
Cyprus,196,6 ,,
Czechia,203,1 ,,
Benin,204,0 ,,
Denmark,208,3 ,,
Dominica,212,4 ,,
Dominican Republic,214,0 ,,
Ecuador,218,0 ,,
El Salvador,222,0 ,,
Equatorial Guinea,226,0 ,,
Ethiopia,231,0 ,,
Eritrea,232,0 ,,
Estonia,233,0 ,,
Faroe Islands,234,0 ,,
Falkland Islands (Malvinas),238,0 ,,
South Georgia and the South Sandwich Islands,239,0 ,,
Fiji,242,0 ,,
Finland,246,2 ,,
Åland Islands,248,0 ,,
France,250,35 ,,
French Guiana,254,0 ,,
French Polynesia,258,0 ,,
French Southern Territories,260,0 ,,
Djibouti,262,0 ,,
Gabon,266,0 ,,
Georgia,268,0 ,,
Gambia,270,1 ,,
"Palestine, State of",275,0 ,,
Germany,276,15 ,,
Ghana,288,12 ,,
Gibraltar,292,0 ,,
Kiribati,296,0 ,,
Greece,300,35 ,,
Greenland,304,0 ,,
Grenada,308,1 ,,
Guadeloupe,312,0 ,,
Guam,316,0 ,,
Guatemala,320,0 ,,
Guinea,324,0 ,,
Guyana,328,6 ,,
Haiti,332,0 ,,
Heard Island and McDonald Islands,334,0 ,,
Holy See,336,0 ,,
Honduras,340,0 ,,
Hong Kong,344,0 ,,
Hungary,348,1 ,,
Iceland,352,0 ,,
India,356,392 ,,
Indonesia,360,28 ,,
"Iran, Islamic Republic of",364,11 ,,
Iraq,368,0 ,,
Ireland,372,88 ,,
Israel,376,6 ,,
Italy,380,0 ,,
Côte d'Ivoire,384,5 ,,
Jamaica,388,0 ,,
Japan,392,25 ,,
Kazakhstan,398,0 ,,
Jordan,400,2 ,,
Kenya,404,8 ,,
"Korea, Democratic People's Republic of",408,0 ,,
"Korea, Republic of",410,18 ,,
Kuwait,414,0 ,,
Kyrgyzstan,417,0 ,,
Lao People's Democratic Republic,418,0 ,,
Lebanon,422,2 ,,
Lesotho,426,0 ,,
Latvia,428,0 ,,
Liberia,430,0 ,,
Libya,434,0 ,,
Liechtenstein,438,0 ,,
Lithuania,440,3 ,,
Luxembourg,442,2 ,,
Macao,446,3 ,,
Madagascar,450,0 ,,
Malawi,454,1 ,,
Malaysia,458,45 ,,
Maldives,462,0 ,,
Mali,466,0 ,,
Malta,470,3 ,,
Martinique,474,0 ,,
Mauritania,478,0 ,,
Mauritius,480,0 ,,
Mexico,484,9 ,,
Monaco,492,0 ,,
Mongolia,496,0 ,,
"Moldova, Republic of",498,0 ,,
Montenegro,499,0 ,,
Montserrat,500,0 ,,
Morocco,504,1 ,,
Mozambique,508,0 ,,
Oman,512,4 ,,
Namibia,516,1 ,,
Nauru,520,0 ,,
Nepal,524,1 ,,
"Netherlands, Kingdom of the",528,6 ,,
Curaçao,531,0 ,,
Aruba,533,0 ,,
Sint Maarten (Dutch part),534,0 ,,
"Bonaire, Sint Eustatius and Saba",535,0 ,,
New Caledonia,540,0 ,,
Vanuatu,548,0 ,,
New Zealand,554,37 ,,
Nicaragua,558,0 ,,
Niger,562,0 ,,
Nigeria,566,45 ,,
Niue,570,0 ,,
Norfolk Island,574,0 ,,
Norway,578,0 ,,
Northern Mariana Islands,580,0 ,,
United States Minor Outlying Islands,581,0 ,,
"Micronesia, Federated States of",583,0 ,,
Marshall Islands,584,0 ,,
Palau,585,0 ,,
Pakistan,586,62 ,,
Panama,591,1 ,,
Papua New Guinea,598,2 ,,
Paraguay,600,0 ,,
Peru,604,0 ,,
Philippines,608,29 ,,
Pitcairn,612,0 ,,
Poland,616,0 ,,
Portugal,620,0 ,,
Guinea-Bissau,624,0 ,,
Timor-Leste,626,0 ,,
Puerto Rico,630,0 ,,
Qatar,634,15 ,,
Réunion,638,0 ,,
Romania,642,1 ,,
Russian Federation,643,4 ,,
Rwanda,646,0 ,,
Saint Barthélemy,652,0 ,,
"Saint Helena, Ascension and Tristan da Cunha",654,0 ,,
Saint Kitts and Nevis,659,1 ,,
Anguilla,660,0 ,,
Saint Lucia,662,0 ,,
Saint Martin (French part),663,0 ,,
Saint Pierre and Miquelon,666,0 ,,
Saint Vincent and the Grenadines,670,0 ,,
San Marino,674,0 ,,
Sao Tome and Principe,678,0 ,,
Saudi Arabia,682,18 ,,
Senegal,686,1 ,,
Serbia,688,0 ,,
Seychelles,690,0 ,,
Sierra Leone,694,11 ,,
Singapore,702,82 ,,
Slovakia,703,0 ,,
Viet Nam,704,10 ,,
Slovenia,705,0 ,,
Somalia,706,1 ,,
South Africa,710,16 ,,
Zimbabwe,716,0 ,,
Spain,724,9 ,,
South Sudan,728,0 ,,
Sudan,729,0 ,,
Western Sahara,732,0 ,,
Suriname,740,2 ,,
Svalbard and Jan Mayen,744,0 ,,
Eswatini,748,0 ,,
Sweden,752,1 ,,
Switzerland,756,5 ,,
Syrian Arab Republic,760,0 ,,
Tajikistan,762,0 ,,
Thailand,764,31 ,,
Togo,768,0 ,,
Tokelau,772,0 ,,
Tonga,776,0 ,,
Trinidad and Tobago,780,1 ,,
United Arab Emirates,784,24 ,,
Tunisia,788,0 ,,
Türkiye,792,20 ,,
Turkmenistan,795,0 ,,
Turks and Caicos Islands,796,0 ,,
Tuvalu,798,0 ,,
Uganda,800,0 ,,
Ukraine,804,4 ,,
North Macedonia,807,0 ,,
Egypt,818,0 ,,
United Kingdom of Great Britain and Northern Ireland,826,317 ,,
Guernsey,831,0 ,,
Jersey,832,1 ,,
Isle of Man,833,0 ,,
"Tanzania, United Republic of",834,2 ,,
United States of America,840,1370 ,,
Virgin Islands (U.S.),850,0 ,,
Burkina Faso,854,0 ,,
Uruguay,858,0 ,,
Uzbekistan,860,0 ,,
"Venezuela, Bolivarian Republic of",862,0 ,,
Wallis and Futuna,876,0 ,,
Samoa,882,0 ,,
Yemen,887,0 ,,
Zambia,894,2 ,,