Date,Num
2025-01-01,1
2025-01-02,0
2025-01-03,0
2025-01-04,1
2025-01-05,1
2025-01-06,2
2025-01-07,2
2025-01-08,1
2025-01-09,10
2025-01-10,7
2025-01-11,0
2025-01-12,3
2025-01-13,10
2025-01-14,3
2025-01-15,1
2025-01-16,7
2025-01-17,7
2025-01-18,3
2025-01-19,7
2025-01-20,32
2025-01-21,26
2025-01-22,17
2025-01-23,40
2025-01-24,1
2025-01-25,7
2025-01-26,4
2025-01-27,16
2025-01-28,27
2025-01-29,15
2025-01-30,3
2025-01-31,10
2025-02-01,36
2025-02-02,92
2025-02-03,343
2025-02-04,115
2025-02-05,73
2025-02-06,64
2025-02-07,26
2025-02-08,7
2025-02-09,17
2025-02-10,34
2025-02-11,72
2025-02-12,102
2025-02-13,12
2025-02-14,25
2025-02-15,2
2025-02-16,3
2025-02-17,24
2025-02-18,5
2025-02-19,19
2025-02-20,37
2025-02-21,6
2025-02-22,5
2025-02-23,2
2025-02-24,14
2025-02-25,7
2025-02-26,2
2025-02-27,9
2025-02-28,3
2025-03-01,10
2025-03-02,4
2025-03-03,15
2025-03-04,130
2025-03-05,121
2025-03-06,21
2025-03-07,45
2025-03-08,9
2025-03-09,19
2025-03-10,47
2025-03-11,62
2025-03-12,85
2025-03-13,36
2025-03-14,48
2025-03-15,11
2025-03-16,18
2025-03-17,22
2025-03-18,21
2025-03-19,13
2025-03-20,44
2025-03-21,13
2025-03-22,11
2025-03-23,16
2025-03-24,16
2025-03-25,23
2025-03-26,26
2025-03-27,53
2025-03-28,34
2025-03-29,9
2025-03-30,9
2025-03-31,26
2025-04-01,26
2025-04-02,44
2025-04-03,50
2025-04-04,59
2025-04-05,19
2025-04-06,20
2025-04-07,54
2025-04-08,93
2025-04-09,121
2025-04-10,92
2025-04-11,112
2025-04-12,40
2025-04-13,26
2025-04-14,81
2025-04-15,63
2025-04-16,49
2025-04-17,70
2025-04-18,30
2025-04-19,10
2025-04-20,29
2025-04-21,35
2025-04-22,12
2025-04-23,53
2025-04-24,50
2025-04-25,55
2025-04-26,13
2025-04-27,10
2025-04-28,60
2025-04-29,41
2025-04-30,31
2025-05-01,19
2025-05-02,13
2025-05-03,20
2025-05-04,9
2025-05-05,18
2025-05-06,30
2025-05-07,29
2025-05-08,25
2025-05-09,21
2025-05-10,37
2025-05-11,20
2025-05-12,35
2025-05-13,48
2025-05-14,22
2025-05-15,26
2025-05-16,22
2025-05-17,7
2025-05-18,9
2025-05-19,7
2025-05-20,10
2025-05-21,5
2025-05-22,16
2025-05-23,14
2025-05-24,8
2025-05-25,14
2025-05-26,17
2025-05-27,3