CCode,USAgree,ChinaAgree
2,1.0,0.14029701566037736
20,0.5175665905660377,0.4108445075471698
31,0.20742695901960784,0.7984786490196079
40,0.11120793415094339,0.856612303773585
41,0.23205684,0.7832963698113208
42,0.23300840647058824,0.751896774509804
51,0.1963894679245283,0.8178002358490566
52,0.19258827452830188,0.8329374264150943
53,0.20938713056603772,0.8099994264150944
54,0.20574741452380954,0.7890010833333333
55,0.1998661908,0.795280506
56,0.1742686708888889,0.8398310555555556
57,0.1844808165116279,0.7989786418604652
58,0.16767979023255813,0.8186051209302325
60,0.2018843092682927,0.7848890878048781
70,0.20222245283018866,0.8007615377358491
80,0.18454343441860466,0.8225411720930232
90,0.25110857433962264,0.7154695320754717
91,0.24282608679245285,0.7415389433962264
92,0.22868680679245285,0.7637959886792454
93,0.19464029886792453,0.7803520415094339
94,0.2472922866037736,0.751510541509434
95,0.23120721566037736,0.7619049603773584
100,0.20192635566037737,0.784325920754717
101,0.16900081509803921,0.8295182627450981
110,0.1888760154716981,0.8420650528301887
115,0.19750563795918366,0.8366779428571429
130,0.1972167867924528,0.8186664150943396
135,0.20795410679245285,0.8006690094339622
140,0.21017318698113208,0.7919192207547169
145,0.20092052867924529,0.7999101339622642
150,0.24549041886792453,0.7283377283018868
155,0.23780980943396224,0.7827386433962265
160,0.23198100301886793,0.7472617566037736
165,0.23103677962264152,0.7470527
200,0.5967278716981133,0.3664910528301887
205,0.3772876471698113,0.5279173924528302
210,0.46089563018867924,0.464090141509434
211,0.47056700188679246,0.44283129433962265
212,0.4681615132075472,0.4535679924528302
220,0.5153887754716981,0.3931631452830189
221,0.43134652258064515,0.5065727645161291
223,0.3631841176470588,0.517470505882353
225,0.35598090909090907,0.5297663318181818
230,0.3863772377358491,0.5562925339622642
232,0.3941343322580645,0.5172735161290322
235,0.41878890188679246,0.5066112145283019
255,0.43244829393939394,0.4891618818181818
260,0.564616188888889,0.3401953722222222
265,0.16336615823529413,0.7436461941176471
290,0.3324583450943396,0.5823631188679246
305,0.36184149811320754,0.5309144226415095
310,0.3361872826415094,0.5757526660377358
315,0.187038455,0.7095211818181818
316,0.44098329354838706,0.49129353548387095
317,0.41987363548387097,0.5045500225806452
325,0.45453430377358495,0.46135366981132075
331,0.395827709375,0.527750459375
338,0.30942318471698116,0.6736208396226415
339,0.2925522283018868,0.6577113490566038
341,0.41665937222222227,0.5058251722222222
343,0.3839823548387097,0.5110648903225806
344,0.40184270625,0.49720579375
345,0.24616404891304347,0.7059425347826087
346,0.39567199032258066,0.5725982838709677
349,0.40874605625,0.5047040125
350,0.35744440188679244,0.5838752962264151
352,0.29011037679245283,0.699441837735849
355,0.31945268018867923,0.5881316075471699
359,0.366062075,0.508888003125
360,0.3276486088679245,0.6290944283018868
365,0.20803252188679247,0.716039179245283
366,0.41092847272727273,0.49135025757575757
367,0.4217118696969697,0.4797046121212121
368,0.4152708727272727,0.4857421363636364
369,0.2782960941509434,0.6377299094339622
370,0.15566798433962264,0.7748599886792453
371,0.23490300909090908,0.7145976606060607
372,0.35402277096774193,0.5037237806451612
373,0.19668283363636363,0.8251649878787878
375,0.3653222849056604,0.5296965264150943
380,0.36680095849056604,0.5397895773584905
385,0.4041609603773585,0.5110980811320754
390,0.4279059037735849,0.4956588943396227
395,0.39784950566037736,0.5240575811320755
402,0.15743943285714285,0.8492415612244898
403,0.12152607575,0.8700275599999999
404,0.1617154259574468,0.8570350127659574
411,0.19355119375,0.82937869375
420,0.1713920216981132,0.8574390132075471
432,0.1641109841509434,0.8579563603773585
433,0.18977023113207545,0.8556312773584905
434,0.17130674,0.8353598867924528
435,0.16931102923076924,0.8621301576923077
436,0.1800171876,0.8578942460000001
437,0.2043507824528302,0.7567250509433961
438,0.17021693415094338,0.8644080150943396
439,0.1817915728301887,0.8508077981132076
450,0.2732048134090909,0.7650948840909091
451,0.1888972433962264,0.8435823471698113
452,0.18544791132075472,0.8362034679245283
461,0.18657022471698115,0.8227121301886793
471,0.18600772698113208,0.7507491547169811
475,0.1764714,0.8493670566037737
481,0.18222811226415095,0.8370474773584906
482,0.21320808673913041,0.7715641217391304
483,0.17480624403846154,0.8601582384615385
484,0.16596500150943397,0.8414898056603773
490,0.19011075326923077,0.8132380711538462
500,0.16716194999999998,0.8315611811320754
501,0.17411541056603774,0.8312027226415094
510,0.16754631528301886,0.8541478320754717
516,0.16934316846153846,0.8461806230769231
517,0.20583722433962265,0.7606859415094339
520,0.15858065511627906,0.8824592162790699
522,0.16014041787234043,0.8725442212765958
530,0.16315416698113208,0.8277113245283019
531,0.1605913306451613,0.8241753419354838
540,0.14161293,0.8413834916666666
541,0.14906196367346938,0.8514445040816326
551,0.1790704175471698,0.8485534377358491
552,0.12633179545454545,0.8901855681818183
553,0.23699723773584905,0.6989862037735849
560,0.22666599323529413,0.7269901470588236
565,0.14671681735294118,0.8459816205882353
570,0.18928151622641506,0.8103849981132076
571,0.1937536754716981,0.8291406679245283
572,0.19795570886792452,0.7905075603773586
580,0.19053919716981133,0.831763937735849
581,0.1551571169387755,0.8733172734693877
590,0.1901863820754717,0.8305409415094339
591,0.164155005,0.8479221818181819
600,0.19667998886792454,0.8588124566037736
615,0.13992948886792453,0.8632337188679245
616,0.17946945981132073,0.8604884396226415
620,0.15154082547169812,0.8622932056603774
625,0.16130439396226415,0.8771160433962265
626,0.1938807246153846,0.5240625538461539
630,0.15352240943396225,0.8666922660377357
640,0.33235679056603773,0.6831754698113207
645,0.15049825409090908,0.8620506909090909
651,0.17533104754716983,0.8640359528301887
652,0.11547350132075472,0.8688261698113208
660,0.16743184396226415,0.8519658245283018
663,0.18065540566037736,0.8509942075471698
666,0.7259897528301886,0.21609872264150942
670,0.18066753566037735,0.854165858490566
678,0.185399991,0.8713803099999999
679,0.15199711515151515,0.8629343363636364
680,0.1599206105263158,0.8539459263157895
690,0.18085178716981135,0.8601354037735849
692,0.17814842773584905,0.8581289698113207
694,0.17995526773584908,0.8632725867924529
696,0.17468176113207548,0.8570968245283018
698,0.17469050547169812,0.870866858490566
700,0.16651555018867922,0.8488334603773585
701,0.1666279078125,0.8339352125
702,0.18321752096774194,0.7857860419354838
703,0.17154037566666666,0.7711468333333333
704,0.19933139413793105,0.7158397827586206
705,0.2021838778125,0.76209399375
710,0.14029701566037736,1.0
712,0.18443406528301884,0.7833063679245282
731,0.06631410121212121,0.8870813454545454
732,0.34165182727272725,0.5517197757575758
740,0.3724489830188679,0.5315496433962265
750,0.16053637886792452,0.8216375943396227
760,0.1676936362264151,0.8146795245283018
770,0.17592749018867923,0.8740692528301887
771,0.1747315316,0.8668739320000001
775,0.16670252226415094,0.8597056622641509
780,0.17291234207547168,0.8613582566037735
781,0.187647727,0.8460999499999999
790,0.19113454981132075,0.8231268735849057
800,0.19795132641509433,0.8227971320754718
811,0.180633105,0.87545845
812,0.1365766869811321,0.8431470056603774
816,0.11483341978723405,0.8811305510638298
820,0.18552337754716983,0.8626400396226415
830,0.19849827849056606,0.8196244358490566
835,0.15076978075,0.8722205150000001
840,0.19678505188679246,0.8414224905660377
850,0.17173710924528302,0.8605181471698113
860,0.19521359545454545,0.8048999545454546
900,0.43380504150943394,0.47390415849056605
910,0.20536825510204082,0.7410339285714286
920,0.3709002566037736,0.5490340566037736
935,0.20446131714285715,0.7120616071428572
940,0.23563600733333334,0.7642565377777777
946,0.3496949166666667,0.5627593041666666
947,0.24085368347826086,0.6812515
950,0.21988872943396226,0.7370920396226415
955,0.1864777988,0.631920876
970,0.4739323833333333,0.417347945
983,0.5700004333333333,0.36119353060606063
986,0.6381115153846154,0.2829702096153846
987,0.646367778125,0.30136196875
990,0.23367565617021274,0.722384225531915
